country NumberDosesReceived date
Austria 2128230.0 2022-04-08
Belgium 848250.0 2022-04-08
Bulgaria 513630.0 2022-04-08
Cyprus 152400.0 2022-04-08
Czechia 762840.0 2022-04-08
Germany 8956098.0 2022-04-08
Denmark 1148940.0 2022-04-08
Estonia 155610.0 2022-04-08
Greece 678600.0 2022-04-08
Spain 9818370.0 2022-04-08
Finland 359190.0 2022-04-08
France 6398850.0 2022-04-08
Croatia 320580.0 2022-04-08
Hungary 1400000.0 2022-04-08
Ireland 539370.0 2022-04-08
Iceland 25890.0 2022-04-08
Italy 3657621.0 2022-04-08
Liechtenstein 6400.0 2022-04-08
Lithuania 160290.0 2022-04-08
Luxembourg 114600.0 2022-04-08
Latvia 132210.0 2022-04-08
Malta  2022-04-08
Netherlands 1692990.0 2022-04-08
Norway 1150800.0 2022-04-08
Poland 3699540.0 2022-04-08
Portugal 888510.0 2022-04-08
Romania 1179360.0 2022-04-08
Sweden 882180.0 2022-04-08
Slovenia 300000.0 2022-04-08
Slovakia 573300.0 2022-04-08
