country date number_sequenced variant
Austria 2019-12-30 0 B.1.1.529
Austria 2019-12-30 0 B.1.617.2
Austria 2019-12-30 0 Other
Austria 2019-12-30 0 UNK
Austria 2020-01-06 0 B.1.1.529
Austria 2020-01-06 0 B.1.617.2
Austria 2020-01-06 0 Other
Austria 2020-01-06 0 UNK
Austria 2020-01-13 0 B.1.1.529
Austria 2020-01-13 0 B.1.617.2
Austria 2020-01-13 0 Other
Austria 2020-01-13 0 UNK
Austria 2020-01-20 0 B.1.1.529
Austria 2020-01-20 0 B.1.617.2
Austria 2020-01-20 0 Other
Austria 2020-01-20 0 UNK
Austria 2020-01-27 0 B.1.1.529
Austria 2020-01-27 0 B.1.617.2
Austria 2020-01-27 0 Other
Austria 2020-01-27 0 UNK
Austria 2020-02-03 0 B.1.1.529
Austria 2020-02-03 0 B.1.617.2
Austria 2020-02-03 0 Other
Austria 2020-02-03 0 UNK
Austria 2020-02-10 0 B.1.1.529
Austria 2020-02-10 0 B.1.617.2
Austria 2020-02-10 0 Other
Austria 2020-02-10 0 UNK
Austria 2020-02-17 0 B.1.1.529
Austria 2020-02-17 0 B.1.617.2
Austria 2020-02-17 0 Other
Austria 2020-02-17 0 UNK
Austria 2020-02-24 8 B.1.1.529
Austria 2020-02-24 8 B.1.617.2
Austria 2020-02-24 8 Other
Austria 2020-02-24 8 UNK
Austria 2020-03-02 58 B.1.1.529
Austria 2020-03-02 58 B.1.617.2
Austria 2020-03-02 58 Other
Austria 2020-03-02 58 UNK
Austria 2020-03-09 119 B.1.1.529
Austria 2020-03-09 119 B.1.617.2
Austria 2020-03-09 119 Other
Austria 2020-03-09 119 UNK
Austria 2020-03-16 136 B.1.1.529
Austria 2020-03-16 136 B.1.617.2
Austria 2020-03-16 136 Other
Austria 2020-03-16 136 UNK
Austria 2020-03-23 161 B.1.1.529
Austria 2020-03-23 161 B.1.617.2
Austria 2020-03-23 161 Other
Austria 2020-03-23 161 UNK
Austria 2020-03-30 109 B.1.1.529
Austria 2020-03-30 109 B.1.617.2
Austria 2020-03-30 109 Other
Austria 2020-03-30 109 UNK
Austria 2020-04-06 56 B.1.1.529
Austria 2020-04-06 56 B.1.617.2
Austria 2020-04-06 56 Other
Austria 2020-04-06 56 UNK
Austria 2020-04-13 43 B.1.1.529
Austria 2020-04-13 43 B.1.617.2
Austria 2020-04-13 43 Other
Austria 2020-04-13 43 UNK
Austria 2020-04-20 27 B.1.1.529
Austria 2020-04-20 27 B.1.617.2
Austria 2020-04-20 27 Other
Austria 2020-04-20 27 UNK
Austria 2020-04-27 22 B.1.1.529
Austria 2020-04-27 22 B.1.617.2
Austria 2020-04-27 22 Other
Austria 2020-04-27 22 UNK
Austria 2020-05-04 18 B.1.1.529
Austria 2020-05-04 18 B.1.617.2
Austria 2020-05-04 18 Other
Austria 2020-05-04 18 UNK
Austria 2020-05-11 31 B.1.1.529
Austria 2020-05-11 31 B.1.617.2
Austria 2020-05-11 31 Other
Austria 2020-05-11 31 UNK
Austria 2020-05-18 14 B.1.1.529
Austria 2020-05-18 14 B.1.617.2
Austria 2020-05-18 14 Other
Austria 2020-05-18 14 UNK
Austria 2020-05-25 0 B.1.1.529
Austria 2020-05-25 0 B.1.617.2
Austria 2020-05-25 0 Other
Austria 2020-05-25 0 UNK
Austria 2020-06-01 7 B.1.1.529
Austria 2020-06-01 7 B.1.617.2
Austria 2020-06-01 7 Other
Austria 2020-06-01 7 UNK
Austria 2020-06-08 3 B.1.1.529
Austria 2020-06-08 3 B.1.617.2
Austria 2020-06-08 3 Other
Austria 2020-06-08 3 UNK
Austria 2020-06-15 4 B.1.1.529
Austria 2020-06-15 4 B.1.617.2
Austria 2020-06-15 4 Other
Austria 2020-06-15 4 UNK
Austria 2020-06-22 1 B.1.1.529
Austria 2020-06-22 1 B.1.617.2
Austria 2020-06-22 1 Other
Austria 2020-06-22 1 UNK
Austria 2020-06-29 2 B.1.1.529
Austria 2020-06-29 2 B.1.617.2
Austria 2020-06-29 2 Other
Austria 2020-06-29 2 UNK
Austria 2020-07-06 4 B.1.1.529
Austria 2020-07-06 4 B.1.617.2
Austria 2020-07-06 4 Other
Austria 2020-07-06 4 UNK
Austria 2020-07-13 10 B.1.1.529
Austria 2020-07-13 10 B.1.617.2
Austria 2020-07-13 10 Other
Austria 2020-07-13 10 UNK
Austria 2020-07-20 9 B.1.1.529
Austria 2020-07-20 9 B.1.617.2
Austria 2020-07-20 9 Other
Austria 2020-07-20 9 UNK
Austria 2020-07-27 3 B.1.1.529
Austria 2020-07-27 3 B.1.617.2
Austria 2020-07-27 3 Other
Austria 2020-07-27 3 UNK
Austria 2020-08-03 10 B.1.1.529
Austria 2020-08-03 10 B.1.617.2
Austria 2020-08-03 10 Other
Austria 2020-08-03 10 UNK
Austria 2020-08-10 12 B.1.1.529
Austria 2020-08-10 12 B.1.617.2
Austria 2020-08-10 12 Other
Austria 2020-08-10 12 UNK
Austria 2020-08-17 15 B.1.1.529
Austria 2020-08-17 15 B.1.617.2
Austria 2020-08-17 15 Other
Austria 2020-08-17 15 UNK
Austria 2020-08-24 30 B.1.1.529
Austria 2020-08-24 30 B.1.617.2
Austria 2020-08-24 30 Other
Austria 2020-08-24 30 UNK
Austria 2020-08-31 19 B.1.1.529
Austria 2020-08-31 19 B.1.617.2
Austria 2020-08-31 19 Other
Austria 2020-08-31 19 UNK
Austria 2020-09-07 19 B.1.1.529
Austria 2020-09-07 19 B.1.617.2
Austria 2020-09-07 19 Other
Austria 2020-09-07 19 UNK
Austria 2020-09-14 18 B.1.1.529
Austria 2020-09-14 18 B.1.617.2
Austria 2020-09-14 18 Other
Austria 2020-09-14 18 UNK
Austria 2020-09-21 23 B.1.1.529
Austria 2020-09-21 23 B.1.617.2
Austria 2020-09-21 23 Other
Austria 2020-09-21 23 UNK
Austria 2020-09-28 6 B.1.1.529
Austria 2020-09-28 6 B.1.617.2
Austria 2020-09-28 6 Other
Austria 2020-09-28 6 UNK
Austria 2020-10-05 27 B.1.1.529
Austria 2020-10-05 27 B.1.617.2
Austria 2020-10-05 27 Other
Austria 2020-10-05 27 UNK
Austria 2020-10-12 45 B.1.1.529
Austria 2020-10-12 45 B.1.617.2
Austria 2020-10-12 45 Other
Austria 2020-10-12 45 UNK
Austria 2020-10-19 45 B.1.1.529
Austria 2020-10-19 45 B.1.617.2
Austria 2020-10-19 45 Other
Austria 2020-10-19 45 UNK
Austria 2020-10-26 62 B.1.1.529
Austria 2020-10-26 62 B.1.617.2
Austria 2020-10-26 62 Other
Austria 2020-10-26 62 UNK
Austria 2020-11-02 136 B.1.1.529
Austria 2020-11-02 136 B.1.617.2
Austria 2020-11-02 136 Other
Austria 2020-11-02 136 UNK
Austria 2020-11-09 146 B.1.1.529
Austria 2020-11-09 146 B.1.617.2
Austria 2020-11-09 146 Other
Austria 2020-11-09 146 UNK
Austria 2020-11-16 38 B.1.1.529
Austria 2020-11-16 38 B.1.617.2
