state;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3
Connecticut;286287;257812;278870;282722;285112;293595;298612
Maine ;70099;64704;70256;72027;73174;75214;76664
Massachusetts ;600436;544140;586020;599311;610700;629570;642038
New Hampshire ;89251;80750;88890;91593;92753;98746;99030
Rhode Island ;61776;56289;61653;62508;62340;65700;66894
Vermont ;34688;30758;33897;34397;35032;35703;36302
Delaware ;77074;71818;76815;77439;77392;79728;81546
District of Columbia ;147340;139171;144287;147421;147830;150577;153168
Maryland ;422760;387607;415082;417251;430607;431319;439028
New Jersey;646387;571006;624873;632051;649336;661895;677006
New York;1789195;1618038;1736426;1755377;1791204;1842363;1867929
Pennsylvania ;802036;712551;779767;793237;807846;828896;846123
Illinois ;885630;804348;866286;877203;906798;927452;945654
Indiana;384065;344388;383794;389099;403694;415923;423729
Michigan ;532286;467167;528249;532778;541145;566009;574150
Ohio ;696308;627253;688816;697868;710999;728398;741400
Wisconsin ;344159;315671;342396;348629;353610;362319;367887
Iowa ;196419;181989;196938;201724;210045;219941;223685
Kansas;178882;162994;177873;180818;185475;191170;194278
Minnesota ;383709;351218;376935;383095;392457;408961;417194
Missouri ;335481;308248;333640;340099;347677;356070;362956
Nebraska;134756;123846;134929;140226;145825;149355;152222
North Dakota ;58494;50509;54520;55893;59703;62890;64583
South Dakota ;55792;51129;55088;57148;58939;61094;61980
Alabama ;231793;210576;231581;233636;238126;243787;248991
Arkansas;132472;122959;133037;134535;138771;143004;145924
Florida ;1127295;1034694;1126332;1135822;1163342;1213461;1242300
Georgia ;637690;585216;630252;637354;653600;675620;690040
Kentucky;217971;195399;217253;219536;225701;231511;236301
Louisiana ;247300;219516;236762;238171;243641;253298;257161
Mississippi ;116407;104988;115950;118037;120445;123758;126264
North Carolina ;603140;549900;598498;607778;628106;646904;660327
South Carolina ;247226;227781;250740;253781;259691;266774;272097
Tennessee ;382646;335712;375477;384462;400792;411983;421352
Virginia ;559123;519052;554367;565602;572428;584197;596025
West Virginia ;78180;68882;76659;79699;82923;86257;88446
Arizona ;375700;351318;378850;389007;393599;405789;415561
New Mexico;103269;91388;98586;100645;104315;107115;109603
Oklahoma;196918;174514;189111;191683;196400;203273;208765
Texas;1838100;1651389;1787816;1825045;1880288;1949756;2006650
Colorado ;395421;358716;385075;391126;402761;417624;426477
Idaho ;84482;77636;85470;87698;90552;93410;94850
Montana ;51948;47992;52341;53755;56453;58755;60020
Utah ;196920;186766;200044;206518;211721;217148;222157
Wyoming ;38834;33215;36181;37064;39303;40761;42102
Alaska ;53103;45945;48877;51355;52164;54056;55677
California ;3083611;2801947;3042208;3100985;3207139;3321704;3384335
Hawaii ;90324;77670;81035;82509;84183;89170;91947
Nevada;184994;151094;172158;175529;180973;190799;195777
Oregon ;250597;228542;246357;249611;256567;262917;268864
Washington;609026;568716;619197;620076;636347;663121;674091
