Location,Date,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Fully_Vacced_Percent
AK,04-10-2022,1124568,1083969,1007505,218488,61.9
GA,04-10-2022,14646960,14276571,13385575,3480441,54.4
WI,04-10-2022,10061767,9750501,9169886,2884957,65.2
KY,04-10-2022,6435039,6271706,5921031,1781304,57.1
WY,04-10-2022,744515,727904,689463,226129,51.3
TX,04-10-2022,45681697,43920719,40321777,9237040,61.1
AZ,04-10-2022,11885117,11496435,10700048,3356548,61.1
SC,04-10-2022,7386934,7215106,6827589,2256708,56.6
MN,04-10-2022,10111470,9690455,9032320,2564624,68.9
FL,04-10-2022,36888776,36148554,34257198,11950211,66.6
ID,04-10-2022,2415481,2352803,2211877,702074,53.8
UT,04-10-2022,5157616,4926714,4479377,974396,64.0
MT,04-10-2022,1562550,1520988,1440353,500479,56.5
CT,04-10-2022,7469892,7211091,6699930,1825784,78.7
WV,04-10-2022,2682013,2633426,2507365,872403,57.3
NE,04-10-2022,3148259,3038705,2833744,835238,63.3
VA2,04-10-2022,7289534,7289340,7286005,3849019,0.0
NH,04-10-2022,2495531,2425553,2274348,670688,69.7
IL,04-10-2022,22248205,21356076,19844481,5180387,68.4
AS,04-10-2022,106520,94590,79056,8107,86.7
AR,04-10-2022,4173862,4064086,3807141,1182748,54.1
ND,04-10-2022,1069286,1034284,982010,292548,54.7
BP2,04-10-2022,311364,311362,311362,9915,0.0
AL,04-10-2022,6199306,6090755,5785743,1863244,50.8
SD,04-10-2022,1385487,1338686,1253847,395344,60.8
LA,04-10-2022,6180020,6060625,5734395,1741738,53.3
NJ,04-10-2022,16949252,16366004,15214852,3787979,75.2
PW,04-10-2022,47171,44761,41193,4945,84.1
RI,04-10-2022,2179900,2109684,1976510,542259,81.9
VA,04-10-2022,16219505,15578333,14462710,3668898,72.8
FM,04-10-2022,119841,106201,93985,7432,53.1
ME,04-10-2022,2764551,2677749,2525301,824663,79.0
NV,04-10-2022,4826555,4710142,4416410,1180931,60.4
VT,04-10-2022,1374459,1318979,1232617,385169,80.8
GU,04-10-2022,345074,329175,295772,45721,82.3
MA,04-10-2022,14559203,13987123,13044329,3255085,78.4
NY,04-10-2022,38648845,37412155,35087360,8561816,76.4
IN,04-10-2022,9397313,9153013,8616484,2669575,54.6
CA,04-10-2022,73341250,70625499,65358095,15128400,71.4
OR,04-10-2022,7619260,7367897,6907806,1979072,69.3
MH,04-10-2022,63353,59166,53159,3216,34.1
PR,04-10-2022,7050547,6734109,6184229,1683326,82.6
DD2,04-10-2022,7369376,7253469,6869677,590310,0.0
PA,04-10-2022,22482965,21778314,20495691,6287309,67.9
HI,04-10-2022,2859495,2752661,2562500,712147,77.9
DE,04-10-2022,1772993,1721769,1612551,523641,68.6
OH,04-10-2022,17558372,17069378,16130368,5104959,58.2
NC,04-10-2022,16464829,15960608,14978734,4359911,60.3
VI,04-10-2022,142135,139702,132804,39954,53.2
US,04-10-2022,565598011,547318322,511404351,140590815,65.8
MD,04-10-2022,11913830,11446988,10592025,2614482,75.8
CO,04-10-2022,10523670,10157925,9480529,2281017,69.9
DC,04-10-2022,1475969,1436077,1374378,262637,73.3
KS,04-10-2022,4530574,4384223,4085570,1224817,61.0
MI,04-10-2022,15614502,15163772,14313018,4437017,59.9
NM,04-10-2022,3862213,3728547,3463361,998221,70.6
OK,04-10-2022,5830332,5696964,5359679,1575856,56.8
MP,04-10-2022,108169,99675,87743,8568,83.3
TN,04-10-2022,9791919,9593814,9123071,2848864,54.2
WA,04-10-2022,14176483,13678397,12770430,3268532,72.2
IH2,04-10-2022,2210061,2128228,1947348,390245,41.5
IA,04-10-2022,5016534,4868794,4583014,1485459,61.7
MS,04-10-2022,3823235,3749487,3538072,1113848,51.6
MO,04-10-2022,8808783,8570514,8082832,2515854,55.7
AK,04-09-2022,1124491,1083892,1007431,218457,61.9
OH,04-09-2022,17540632,17052085,16113463,5093657,58.2
NH,04-09-2022,2494933,2424958,2273772,670310,69.7
UT,04-09-2022,5157540,4926639,4479303,974345,64.0
GU,04-09-2022,345065,329169,295766,45719,82.3
WV,04-09-2022,2681958,2633371,2507310,872366,57.3
CA,04-09-2022,73249492,70536874,65272868,15083877,71.3
US,04-09-2022,565162367,546897895,510999918,140350274,65.8
NM,04-09-2022,3856969,3723444,3458390,995076,70.6
TX,04-09-2022,45645491,43887192,40292467,9222911,61.0
DD2,04-09-2022,7365101,7249378,6865734,588381,0.0
AZ,04-09-2022,11869886,11481673,10685689,3347009,61.1
GA,04-09-2022,14646740,14276355,13385364,3480422,54.4
NC,04-09-2022,16449190,15945496,14964082,4351012,60.3
FM,04-09-2022,119841,106201,93985,7432,53.1
NV,04-09-2022,4822877,4706577,4412928,1178591,60.4
ME,04-09-2022,2764484,2677682,2525234,824617,79.0
SD,04-09-2022,1385128,1338364,1253549,395178,60.8
OK,04-09-2022,5829529,5696176,5358911,1575425,56.8
BP2,04-09-2022,311364,311362,311362,9915,0.0
VI,04-09-2022,142134,139701,132803,39954,53.2
NE,04-09-2022,3148253,3038701,2833740,835238,63.3
MT,04-09-2022,1562494,1520934,1440301,500451,56.5
VA,04-09-2022,16201996,15561439,14446218,3658775,72.8
VA2,04-09-2022,7283489,7283295,7279962,3844795,0.0
MS,04-09-2022,3823174,3749426,3538012,1113813,51.6
RI,04-09-2022,2177521,2107366,1974243,540815,81.9
DE,04-09-2022,1772951,1721729,1612511,523608,68.6
NY,04-09-2022,38619905,37384478,35060763,8546398,76.4
IA,04-09-2022,5016531,4868791,4583013,1485459,61.7
VT,04-09-2022,1372284,1316839,1230513,383750,80.8
TN,04-09-2022,9791850,9593746,9123004,2848822,54.2
FL,04-09-2022,36850460,36111158,34220492,11925161,66.6
IN,04-09-2022,9387385,9143347,8607067,2663610,54.6
MA,04-09-2022,14558991,13986912,13044119,3254919,78.4
WY,04-09-2022,744439,727833,689396,226086,51.3
IL,04-09-2022,22223108,21331685,19820687,5165929,68.4
MH,04-09-2022,60962,57388,51977,3157,33.0
MN,04-09-2022,10096447,9675732,9017926,2555191,68.9
LA,04-09-2022,6175564,6056316,5730203,1739272,53.3
KY,04-09-2022,6435036,6271703,5921028,1781303,57.1
PW,04-09-2022,47171,44761,41193,4945,84.1
MP,04-09-2022,108169,99675,87743,8568,83.3
ND,04-09-2022,1069191,1034191,981920,292478,54.7
HI,04-09-2022,2859444,2752613,2562453,712122,77.9
KS,04-09-2022,4526021,4379804,4081278,1221930,61.0
WI,04-09-2022,10049224,9738232,9157897,2877165,65.2
MO,04-09-2022,8808633,8570364,8082682,2515747,55.7
AL,04-09-2022,6199212,6090667,5785656,1863222,50.8
CT,04-09-2022,7460694,7202059,6691078,1819976,78.7
DC,04-09-2022,1474172,1434334,1372703,261770,73.3
IH2,04-09-2022,2208424,2126737,1945968,389684,41.5
PR,04-09-2022,7050534,6734096,6184216,1683325,82.6
AR,04-09-2022,4167768,4058126,3801276,1178866,54.1
OR,04-09-2022,7607093,7356032,6896165,1971234,69.3
PA,04-09-2022,22472518,21768442,20486419,6282859,67.9
CO,04-09-2022,10523201,10157462,9480073,2280716,69.9
NJ,04-09-2022,16939703,16356808,15206030,3783342,75.2
MI,04-09-2022,15594683,15144273,14293837,4424299,59.9
ID,04-09-2022,2413149,2350489,2209595,700650,53.8
SC,04-09-2022,7386769,7214941,6827426,2256653,56.6
WA,04-09-2022,14176423,13678339,12770374,3268506,72.2
MD,04-09-2022,11905342,11438768,10584100,2609866,75.8
AS,04-09-2022,106520,94590,79056,8107,86.7
IN,04-08-2022,9378186,9134428,8598378,2657966,54.6
WI,04-08-2022,10037475,9726726,9146641,2869458,65.2
MS,04-08-2022,3820805,3747180,3535833,1112559,51.6
MH,04-08-2022,60962,57388,51977,3157,33.0
DE,04-08-2022,1770304,1719150,1609989,521852,68.6
KY,04-08-2022,6428942,6265748,5915225,1777784,57.1
CT,04-08-2022,7450935,7192475,6681679,1813429,78.6
TX,04-08-2022,45597367,43843634,40251822,9201713,61.0
MD,04-08-2022,11891040,11424874,10570567,2601614,75.8
AL,04-08-2022,6194325,6085924,5781018,1860318,50.8
HI,04-08-2022,2853445,2746685,2556581,707947,77.9
VT,04-08-2022,1370218,1314821,1228526,382366,80.7
VA2,04-08-2022,7277388,7277194,7273861,3840385,0.0
VI,04-08-2022,142072,139642,132746,39912,53.2
NJ,04-08-2022,16920700,16338354,15188050,3773137,75.2
AK,04-08-2022,1124352,1083756,1007302,218417,61.9
LA,04-08-2022,6170725,6051688,5725696,1736754,53.3
OH,04-08-2022,17521559,17033483,16095336,5081567,58.1
WV,04-08-2022,2678679,2630117,2504093,870074,57.3
OK,04-08-2022,5819769,5686632,5349628,1569401,56.8
ID,04-08-2022,2410706,2348094,2207289,699095,53.7
NV,04-08-2022,4819308,4703083,4409511,1176338,60.4
SC,04-08-2022,7386454,7214627,6827135,2256584,56.6
BP2,04-08-2022,311361,311359,311359,9915,0.0
MP,04-08-2022,108169,99675,87743,8568,83.3
AZ,04-08-2022,11856663,11468805,10673150,3338669,61.1
DC,04-08-2022,1471664,1431919,1370343,260538,73.2
NM,04-08-2022,3850617,3717215,3452268,991090,70.5
AS,04-08-2022,106334,94409,78908,8094,86.6
US,04-08-2022,564572230,546328531,510447440,140019334,65.7
ME,04-08-2022,2759113,2672359,2519998,820870,79.0
GA,04-08-2022,14646693,14276318,13385328,3480406,54.4
AR,04-08-2022,4162500,4052960,3796217,1175617,54.1
KS,04-08-2022,4522288,4376177,4077762,1219565,60.9
GU,04-08-2022,344796,328930,295532,45624,82.3
PA,04-08-2022,22457550,21754422,20473461,6276823,67.8
RI,04-08-2022,2174899,2104794,1971752,539339,81.9
MA,04-08-2022,14541420,13969762,13027345,3244132,78.4
SD,04-08-2022,1383668,1336935,1252163,394282,60.8
DD2,04-08-2022,7359968,7244541,6861150,586484,0.0
CA,04-08-2022,73160616,70452226,65191747,15044295,71.3
IL,04-08-2022,22190092,21299217,19788664,5150800,68.3
VA,04-08-2022,16183416,15543507,14428851,3648127,72.7
UT,04-08-2022,5157427,4926528,4479195,974278,64.0
WA,04-08-2022,14159373,13661915,12754333,3257956,72.2
MN,04-08-2022,10084275,9663796,9006301,2547551,68.9
NC,04-08-2022,16433061,15929833,14948757,4341107,60.2
FL,04-08-2022,36811060,36072464,34182417,11899815,66.6
