name, abv, latitude, longitude, population
Alabama,AL,32.806671,-86.79113000000001,4779736
Alaska,AK,61.370716,-152.404419,710231
Arizona,AZ,33.729759,-111.431221,6392017
Arkansas,AR,34.969704,-92.37312299999999,2915918
California,CA,36.116203000000006,-119.681564,37253956
Colorado,CO,39.059810999999996,-105.311104,5029196
Connecticut,CT,41.597782,-72.755371,3574097
Delaware,DE,39.318523,-75.507141,897934
District of Columbia,DC,38.897438,-77.02681700000001,601723
Florida,FL,27.766278999999997,-81.68678299999999,18801310
Georgia,GA,33.040619,-83.643074,9687653
Hawaii,HI,21.094317999999998,-157.49833700000002,1360301
Idaho,ID,44.240459,-114.47882800000001,1567582
Illinois,IL,40.349457,-88.986137,12830632
Indiana,IN,39.849426,-86.258278,6483802
Iowa,IA,42.011539,-93.210526,3046355
Kansas,KS,38.5266,-96.726486,2853118
Kentucky,KY,37.66814,-84.670067,4339367
Louisiana,LA,31.169546,-91.867805,4533372
Maine,ME,44.693946999999994,-69.381927,1328361
Maryland,MD,39.063946,-76.80210100000001,5773552
Massachusetts,MA,42.230171,-71.530106,6547629
Michigan,MI,43.326617999999996,-84.53609499999999,9883640
Minnesota,MN,45.694454,-93.900192,5303925
Mississippi,MS,32.741646,-89.678696,2967297
Missouri,MO,38.456084999999995,-92.288368,5988927
Montana,MT,46.921925,-110.454353,989415
Nebraska,NE,41.125370000000004,-98.26808199999999,1826341
Nevada,NV,38.313515,-117.055374,2700551
New Hampshire,NH,43.452492,-71.563896,1316470
New Jersey,NJ,40.298904,-74.521011,8791894
New Mexico,NM,34.840515,-106.24848200000001,2059179
New York,NY,42.165726,-74.948051,19378102
North Carolina,NC,35.630066,-79.80641899999999,9535483
North Dakota,ND,47.528912,-99.784012,672591
Ohio,OH,40.388783000000004,-82.764915,11536504
Oklahoma,OK,35.565342,-96.928917,3751351
Oregon,OR,44.572021,-122.07093799999998,3831074
Pennsylvania,PA,40.590752,-77.209755,12702379
Rhode Island,RI,41.680893,-71.51178,1052567
South Carolina,SC,33.856891999999995,-80.94500699999999,4625364
South Dakota,SD,44.299782,-99.438828,814180
Tennessee,TN,35.747845,-86.69234499999999,6346105
Texas,TX,31.054486999999998,-97.563461,25145561
Utah,UT,40.150032,-111.86243400000001,2763885
Vermont,VT,44.045876,-72.710686,625741
Virginia,VA,37.769337,-78.16996800000001,8001024
Washington,WA,47.400902,-121.490494,6724540
West Virginia,WV,38.491226,-80.954453,1852994
Wisconsin,WI,44.268543,-89.616508,5686986
Wyoming,WY,42.755966,-107.30248999999999,563626

