country_name Latitude Longitude date population Cumulative_cases Cumulative_deaths case_fatality_ratio
Austria 47.33 13.33 2022-04-08 9015361 3998130 15982 250.1645601301464
Andorra 42.5 1.5 2022-03-01 77287 37999 151 251.64900662251657
Belgium 50.83 4.0 2021-09-29 11598451 1235755 25748 47.99421314276837
Belgium 50.83 4.0 2022-04-08 11598451 3915732 30997 126.3261605961867
China 35.0 105.0 2020-04-18 1440297825 84180 4642 18.134424816889272
China 35.0 105.0 2022-03-22 1440297825 853254 11610 73.49302325581395
Colombia 4.0 -72.0 2021-02-07 50976248 2142660 55403 38.67407902099164
Germany 51.0 9.0 2022-04-08 83830972 22441051 131370 170.82325492882697
"Dominican Republic" 19.0 -70.67 2022-03-14 10866667 576367 4374 131.7711476909008
Ireland 53.0 -8.0 2022-04-08 4947267 1484321 6843 216.91085781090166
Israel 31.5 34.75 2022-04-08 8678517 3983671 10559 377.2772989866465
Pakistan 30.0 70.0 2022-01-15 221612785 1315834 28999 45.37515086727129
Slovenia 46.0 15.0 2022-04-08 2078989 982784 7454 131.84652535551382
Zimbabwe -20.0 30.0 2022-04-08 14899771 246870 5455 45.25572868927589
Spain 40.0 -4.0 2021-10-30 46757980 5027915 88390 56.88330127842516
Spain 40.0 -4.0 2022-04-08 46757980 11578653 102747 112.69091068352361
Spain 40.0 -4.0 2021-02-01 46757980 2849521 65529 43.48488455492988
Spain 40.0 -4.0 2020-08-31 46757980 485973 30975 15.689200968523002
Ethiopia 8.0 38.0 2020-01-03 115434444 0 0 
Norway 62.0 10.0 2021-10-18 5428594 196464 918 214.01307189542484
Netherlands 52.5 5.75 2021-04-12 17141544 1349754 16764 80.51503221188261
Luxembourg 49.75 6.17 2021-05-31 627704 69932 814 85.91154791154791
