name, abv, latitude, longitude, population
Alabama,AL,32.806671,-86.79113000000001,4779736
California,CA,36.116203000000006,-119.681564,37253956
Delaware,DE,39.318523,-75.507141,897934
District of Columbia,DC,38.897438,-77.02681700000001,601723
Florida,FL,27.766278999999997,-81.68678299999999,18801310
Massachusetts,MA,42.230171,-71.530106,6547629
Idaho,ID,44.240459,-114.47882800000001,1567582
Maine,ME,44.693946999999994,-69.381927,1328361
Maryland,MD,39.063946,-76.80210100000001,5773552
Massachusetts,MA,42.230171,-71.530106,6547629
Virginia,VA,37.769337,-78.16996800000001,8001024
West Virginia,WV,38.491226,-80.954453,1852994



